Agency Name,City,Address Line 1,MATCH_BY_CITY,MATCH_BY_ADDRESS,MATCH_BY_NAME_ONLY
AERO TECHNICS FZCO,DUBAI,AERO-TECHNICS FZCO WAREHOUSE B16 &,NO,,
AERO TEKNIK INC,ORANGE,2238 NORTH GLASSELL STREET,NO,,
AERO TRIM LLC,VERO BEACH,3102 CHEROKEE DR.,NO,,
AERO TURBINE COMPONENTS INC,WORCESTER,993 MILLBURY STREET,NO,,
AERO TURBINE INC,STOCKTON,6800 SOUTH LINDBERGH STREET,NO,,
AERO TWIN INC,ANCHORAGE,2403 MERRILL FIELD DR,NO,,
AERO WIDE SERVICES LLC,MIAMI,7441 NW 7 STREET,NO,,
AERO X,ATWATER,2800 PROPELLER PLACE,NO,,
AERO-CRAFT HYDRAULICS INC,CORONA,392 NORTH SMITH AVENUE,NO,,
AERO-FLITE INC,SPOKANE,8520WEST ELECTRIC AVENUE,NO,,
AERO-MARK MRO LLC,FAIRHOPE,14560 GREENO ROAD,NO,,
AERO-SPORT FUEL CELL LLC,SANTA FE SPRINGS,8354 SECURA WAY,NO,,
AERO-TECH SERVICES LLC,WICHITA,5555 NORTH 119TH STREET WEST,NO,,
AEROANTENNA TECHNOLOGY INC,CHATSWORTH,20732 LASSEN STREET,NO,,
AEROBRIGHAM LLC,DECATUR,351 AIRPORT ROAD BUILDING 500,YES,,
AEROCAPITAL USA LLC,PENSACOLA,4345 JERRY L. MAYGARDEN ROAD,NO,,
AEROCARDAL LTDA,SANTIAGO,DIEGO BARROS ORTIZ NO. 2065,NO,,
AEROCARE AVIATION SERVICES LIMITED,HAWARDEN,HANGAR 11 AVIATION BUISNESS PARK,NO,,
AEROCO GROUP INTERNATIONAL LTD,STOCKPORT,"UNITS 6-9, AURORA BUSINESS PARK",NO,,
AEROCONTROLEX GROUP INC,SOUTH EUCLID,4223 MONTICELLO BLVD,NO,,
,PAINESVILLE,313 GILLETT STREET,NO,,
AEROCORE X LLC,DEL CITY,4312 SE 31ST.,NO,,
AERODESIGN SERVICES LLC,ROSWELL,4 WEST CHALLENGER,NO,,
AERODINAMIX,MIAMI SPRINGS,4471 NW 36 ST,NO,,
AERODINE COMPOSITES LLC,INDIANAPOLIS,1755 MIDWEST BLVD.,NO,,
AERODYME CORP,SOUTH BURLINGTON,274 VALLEY ROAD,NO,,
AERODYNE CORPORATION,CHESAPEAKE,5198 WEST MILITARY HIGHWAY,NO,,
AEROED INSPECTION SERVICES LLC,MIAMI,12252 SW 131 AVENUE,NO,,
AEROELITE INTERIORS LLC,,,NO,,
AEROFIELD SERVICES LLC,AURORA,19501 E. 23RD AVE,NO,,
AEROFIXICA,DEXTER,7399 NEWMAN BLVD.,NO,,
AEROGULF SERVICES COMPANY LLC,DUBAI,AL MAKTOUM INTERNATIONAL AIRPORT,NO,,
AEROHELICES SAS,BOGOTA,"CARRERA 127 # 22G-28 - BODEGA 27,",NO,,
AEROHOFF INSPECTION SERVICES INC,OCEANSIDE,5019 CASPIAN DRIVE,NO,,
AEROHP MAINTENANCE LLC,SPRING,7814 EAGLE LANE,NO,,
AEROKOOL AVIATION CORPORATION,"HIALEAH,",1495 S.E. 10TH AVENUE,NO,,
AEROLAB AVIATION SERVICES INC,MCKENZIE,535 AIRPORT LANE,NO,,
AEROLAB INC,MIAMI,8000 NW 31ST STREET,NO,,
AEROLINEAS ARGENTINAS,BUENOS AIRES,AEROPUERTO INTERNACIONAL EZEIZA,NO,,
AEROLUX LIMITED,BLACKPOOL,41 MOWBRAY DRIVE,NO,,
AEROMAN,SAN SALVADOR,EL SALVADOR INTERNATIONAL AIRPORT A,NO,,
AEROMARITIME MEDITERRANEAN LTD,LUQA,FACTORY HF7 INDUSTRIAL ESTATE,NO,,
AEROMATES GMBH,NIEDERKASSEL,OTTO-HAHN-STR. 1B/1C,NO,,
AEROMECH Inc,MUKILTEO,3977 HARBOUR POINTE BLVD. SW,NO,,
AEROMOTIVE SERVICES INC,DEKALB,3232 PLEASANT ST,NO,,
AEROMOTORS LLC,BROWNTOWN,304 EAST MURRAY STREET,NO,,
AERONAMIC BV,ALMELO,PLANTOFSWEG 76,NO,,
AERONAUTICA APLICADA SA DE CV,TOLUCA,"BOULEVARD DE LA AVIACIÓN, GENERAL L",YES,,
AERONAUTICA GESTION SL,MADRID,"C/LAGUNA DEL MARQUESADO N° 28, D-E-",NO,,
AERONAUTICAL ENGINEERS Inc,MIAMI,7765 N.W. 54 STREET,NO,,
AERONAUTICAL ENTERPRISES INC,LAVONIA,218 MILTON STREET,NO,,
AERONAUTICAL INSTRUMENT AND RADIO CO INC,LODI,234 GARIBALDI AVENUE,NO,,
AERONAUTICAL MAINTENANCE CENTER SPA,PUDAHUEL,AVENIDA CLAUDIO ARRAU 7050,NO,,
AERONAUTICAL TECHNOLOGY INC,LONG BEACH,"3333 EAST SPRING STREET, SUITE 311",NO,,
AEROPARTS & SUPPLY SOUTHWEST INC,DALLAS,2722 BURBANK ST,NO,,
AEROPEOPLE LIMITED,STANSTED,"RAMP ACCOMMODATION, UNIT 5",NO,,
AEROPLEX OF CENTRAL EUROPE,BUDAPEST,BUDAPEST LISZT FERENC AIRPORT,NO,,
AEROPLUS INTERIORS INC,HOUSTON,8703 TELEPHONE ROAD,NO,,
AEROPOOL SERVICES INC,MIAMI,"6991 NORTHWEST 82 AVENUE, BAY #3",NO,,
AEROPRO MRO SBD LLC,SAN BERNARDINO,"255 SOUTH LELAND NORTON WAY, BAY 1",NO,,
AEROQUEST INC,LAWRENCEVILLE,100 BOULDERBROOK CIRCLE,NO,,
AEROREPAIR FLORIDA CORP,HIALEAH GARDENS,13202 NW 107TH AVENUE,NO,,
AEROREPAIR SOUTH LLC,GRIFFIN,902 SOUTH PINE HILL ROAD,NO,,
AEROREPAIR SOUTH LLC,PHOENIX,2145 SOUTH 11TH AVE.,NO,,
AEROREPAIR CORP,DALLAS,2675 TARNA DRIVE,NO,,
,LONDONDERRY,14 TINKER AVE.,NO,,
AEROREPAIR CORP,INDIANAPOLIS,1810 SOUTH LYNHURST DRIVE SUITE C&D,NO,,
AERORESPONSE LIMITED,"RHONDDA CYNON TAFF, CA","TY MENTER, NAVIGATION PARK",NO,,
AEROSECURE LLC,BUCKEYE,3000 SOUTH PALO VERDE ROAD,NO,,
AEROSERVE CORPORATION,MERRITT  ISLAND,255 MANOR DRIVE,NO,,
AEROSHOP LLC,CAROLINA,AVE. JOSE TONY SANTANA,NO,,
AEROSMITH AVIATION INC,LONGVIEW,321 CORPORATE ROAD,NO,,
AEROSONIC LLC,CLEARWATER,1212 NORTH HERCULES AVENUE,NO,,
AEROSPACE ACCESSORY SERVICE INC,DORAL,2001 NW 79TH AVENUE,NO,,
AEROSPACE AVIONICS LLC,FORT LAUDERDALE,"2899 W PROSPECT RD, SUITE E",NO,,YES
AEROSPACE COATINGS INTERNATIONAL LLC,OXFORD,370 KNIGHT DRIVE,NO,,
AEROSPACE COMPONENT ENGINEERING SERVICES PTE LTD,SINGAPORE,45 CHANGI NORTH CRESENT,NO,,
AEROSPACE COMPONENTS AND INSTRUMENTS LLC,SILOAM SPRINGS,4600 SMITH FIELD DRIVE,NO,,
AEROSPACE COMPOSITES SOLUTIONS INC,MORGANTOWN,1781 VETERANS WAY,NO,,
AEROSPACE CONTROL PRODUCTS INC,"DAVENPORT,",1314 WEST 76TH STREET,NO,,
AEROSPACE DEFENSE SYSTEMS INC,FORT STEWART,1116 E. LOWE CIRCLE,NO,,
AEROSPACE ENGINEERING GROUP SL,ABANTO,"POLIGONO INDUSTRIAL EL CAMPILLO, BL",NO,,
AEROSPACE ENGINEERING SERVICES (SOUTHERN) JSC,DONG NAI PROVINCE,NHON TRACH 3 INDUSTRIAL ZONE,NO,,
AEROSPACE ENGINEERING SERVICES JOINT STOCK COMPANY,HANOI,"LOT 43A, QUANG MINH INDUSTRIAL ZONE",NO,,
AEROSPACE HOLDING CORPORATION,VIENNA,YOUNGSTOWN WARREN REGIONAL AIRPORT,NO,,
AEROSPACE INNOVATIONS INC,HIALEAH,7921 W 25TH COURT,NO,,
AEROSPACE INSTRUMENT SUPPORT INC,DENTON,1750 WESTCOURT ROAD,YES,,
AEROSPACE MAINTENANCE SOLUTIONS,SOLON,29401 AMBINA DR.,NO,,
AEROSPACE MAINTENANCE SUPPLIES AND SERVICES INC,MIAMI,8361 NW 64TH ST.,NO,,
AEROSPACE MANAGEMENT & SUPPORT PCC,SPATA,ATHENS INTERNATIONAL AIRPORT,NO,,
